month,provider,entry_price_usd_per_month
2026-07,Domestika,7.99
2026-07,MasterClass,10
2026-07,DataCamp,13.25
2026-07,Skillshare,13.99
2026-07,Brilliant,13.99
2026-07,Pluralsight,19
2026-07,LinkedIn Learning,19.99
2026-07,Codecademy,19.99
2026-07,Udemy,20
2026-07,Coursera,33.25
2026-07,Udacity,249
2026-06,Domestika,7.99
2026-06,MasterClass,10
2026-06,DataCamp,13.25
2026-06,Skillshare,13.99
2026-06,Brilliant,13.99
2026-06,LinkedIn Learning,19.99
2026-06,Codecademy,19.99
2026-06,Pluralsight,29
2026-06,Udemy,32
2026-06,Coursera,33.25
2026-06,Upskillist,49.99
2026-06,Udacity,249
