provider,entry_price_usd_per_month,source_url
Brevo,9,https://mailshortlist.com/tools/brevo
MailerLite,10,https://mailshortlist.com/tools/mailerlite
AWeber,12.5,https://mailshortlist.com/tools/aweber
Mailchimp,13,https://mailshortlist.com/tools/mailchimp
ActiveCampaign,15,https://mailshortlist.com/tools/activecampaign
GetResponse,16,https://mailshortlist.com/tools/getresponse
Omnisend,16,https://mailshortlist.com/tools/omnisend
Ghost,18,https://mailshortlist.com/tools/ghost
Klaviyo,20,https://mailshortlist.com/tools/klaviyo
Kit (ConvertKit),33,https://mailshortlist.com/tools/kit
beehiiv,39,https://mailshortlist.com/tools/beehiiv
